eng	fra
I'm a lucky man.	Je suis un homme chanceux.
Is Tom safe?	Tom est-il à l'abri ?
I'm very strict.	Je suis très stricte.
Call the police!	Appelle la police!
Who yelled?	Qui a hurlé ?
I'll get you.	J'irai te prendre.
Wait here.	Attendez ici.
Everyone did it.	Tout le monde l'a fait.
He's too busy.	Il est trop occupé.
Are you winning?	Êtes-vous en train de gagner ?
I was tired.	J’étais fatiguée.
Tom got dumped.	Tom s'est fait larguer.
Black suits you.	Le noir vous va bien.
We're safe now.	Nous sommes désormais en sécurité.
I read the book.	Je lis le livre.
I looked down.	J'ai baissé les yeux.
I have to sleep.	Je dois dormir.
It's missing.	Ça fait défaut.
She called him.	Elle l'appela.
Help Tom.	Aide Tom.
Just stay there.	Reste ici.
Is that it?	Est-ce cela ?
Be punctual.	Soyez ponctuelles !
I'm forgetful.	Je suis étourdi.
I'm hung over.	J'ai mal au cœur.
I go to work.	Je me rends au travail.
I must protest.	Je dois soulever une protestation.
Let's have fun.	Amusons-nous.
I was good.	Je fus bon.
It's awesome.	C'est effarant.
He hit me twice.	Il m'a frappée par deux fois.
I like talking.	J'aime causer.
I got nauseous.	Je me suis mis à avoir la nausée.
What'd I do?	Que ferais-je ?
How thrilling!	Comme c'est palpitant !
I can help you.	Je peux t'aider.
We agreed.	Nous sommes tombés d'accord.
God sent a sign.	Dieu a envoyé une pancarte.
She is curt.	Elle n'a pas de charme.
Wait till six.	Attendez jusqu'à six heures.
We are Arabs.	Nous sommes arabes.
Tie your shoe.	Noue ton lacet de chaussure.
Give me a break.	Fous-moi la paix.
Are you hurt?	Êtes-vous blessés ?
I'm not cranky.	Je ne suis pas grincheux.
I'll sue you.	Je te ferai un procès.
I'm in love.	Je suis amoureuse.
I got upset.	J'ai été contrarié.
I'm not sleepy.	Je ne suis pas endormi.
This is huge.	C'est énorme.
I do like you.	Je vous apprécie vraiment.
Is this fake?	Est-ce une imitation ?
It has to stop.	Ça doit s'arrêter.
I'm desperate.	Je suis désespéré.
Draw a circle.	Trace un cercle.
We all laughed.	Nous rîmes toutes.
I'm addicted.	Je suis drogué.
Give me a hug.	Serre-moi dans tes bras !
I'm not so sure.	Je n'en suis pas si sûr !
I needed help.	Il m'a fallu de l'aide.
She can't swim.	Elle ne sait pas nager.
I handled it.	J'ai géré.
Look around you.	Regarde autour de toi.
I'm grateful.	Je suis reconnaissante.
I'm not dumb.	Je ne suis pas abrutie.
You're a child.	Vous êtes un enfant.
Sit down, Tom.	Assieds-toi, Tom.
You're sleepy.	Tu es endormi.
I'll pass.	Je passerai.
I'm exhausted.	Je suis épuisée.
She hit him.	Elle l'a frappé.
I was careless.	J'étais insouciant.
Give me half.	Donne-moi la moitié.
They loved Tom.	Ils aimaient Tom.
He's a DJ.	Il est DJ.
I found these.	J'ai trouvé celles-ci.
I felt ill.	Je me suis senti mal.
Stay in bed.	Reste alitée !
That's unfair.	C'est injuste.
It's redundant.	C'est en trop.
Pardon me?	Plaît-il ?
He's very open.	Il est très ouvert.
He loves me.	Il m'aime.
We've refused.	Nous avons refusé.
He's after me.	Il me poursuit.
I didn't scream.	Je n'ai pas hurlé.
Here she comes.	La voici.
She was perfect.	Elle fut parfaite.
Wait!	Attendez !
Do you like it?	Tu aimes ?
I've got eyes.	J'ai des yeux.
Take a number.	Prends un numéro !
I'm not wealthy.	Je ne suis pas riche.
I'll arrange it.	J'arrangerai ça.
Do you remember?	Est-ce que vous vous souvenez ?
I'll pay later.	Je payerai plus tard.
I'm motivated.	Je suis motivée.
I could walk.	Je pouvais marcher.
I need you now.	J'ai besoin de vous maintenant.
We'll be there.	On sera là.
Who was that?	C'était qui ?
How did it end?	Comment ça s'est fini ?
It was broken.	C'était cassé.
Come with me.	Joignez-vous à nous.
I felt relieved.	Je me suis senti soulagé.
Throw the dice.	Jette le dé.
Could we sit?	Pourrions-nous nous asseoir ?
It's outdated.	C'est vieillot.
I like your hat.	J'aime ton chapeau.
It's very low.	C'est très bas.
Just ignore it.	N'y prête simplement pas attention !
Tom made plans.	Tom a fait des plans.
Am I hungry!	J'ai faim !
Be watchful.	Sois prudent !
I love my house.	J'adore ma maison.
I am American.	Je suis américain.
Use them all.	Utilise-les tous !
You woke me.	Vous m'avez réveillée.
Is Tom OK?	Tom va-t-il bien ?
I did it myself.	Je l'ai fait moi-même.
I've had enough.	J'en ai assez entendu.
I got thirsty.	Je me suis mis à avoir soif.
Tom has a son.	Tom a un fils.
Give it to them.	Donne-le-leur.
Hold fire.	Halte au feu !
I'm lucky today.	Je suis chanceux aujourd'hui.
He's not a hero.	Ce n'est pas un héros.
I was sick.	J'ai été malade.
I was stunned.	J'étais scié.
I messed up.	J'ai foiré.
We are here.	Nous sommes ici.
It's my CD.	C'est mon CD.
My suit is gray.	Mon costume est gris.
You are morons.	Vous êtes des crétins.
Here is my key.	Voici ma clef.
Please relax.	S'il te plaît, calme-toi.
I misunderstood.	J'ai mal compris.
I don't care.	Ça m'est égal.
We can pay.	Nous pouvons payer.
See you there.	Rendez-vous là-bas.
Who hired you?	Qui vous a recrutée ?
Who cares?	À qui ceci importe-t-il ?
Please help me.	Je vous prie de m'aider.
Time's up.	Le temps est écoulé.
Don't die.	Ne mourez pas !
Tom knits.	Tom tricote.
My car's dirty.	Ma voiture est sale.
I like stories.	J'aime les récits.
Is it cancer?	S'agit-il d'un cancer ?
Tom's bored.	Tom s'ennuie.
Memorize it.	Mémorisez-la.
Can I join you?	Puis-je me joindre à toi ?
Summer has come.	L'été est arrivé.
I'm speaking.	Je suis en train de parler.
He made me go.	Il m'a fait partir.
He is drunk.	Il est soûl.
I feel bad.	Je me sens mal.
We'll respond.	Nous allons répondre.
Don't be upset.	Ne soyez pas contrarié !
Try to resist.	Essaie de résister.
You want this?	Veux-tu ceci ?
I'll leave.	Je partirai.
You're callous.	Tu es insensible.
I came for you.	Je suis venu pour toi.
Read it to me.	Lis-le-moi !
I'm having fun.	Je m'amuse.
Have a look.	Jette un œil !
I love games.	J'adore les jeux.
Let me check.	Laissez-moi contrôler.
Tom won't eat.	Tom ne mangera pas.
I guess it's OK.	J'imagine que ça va.
Come with us.	Venez avec nous.
Are you sleepy?	Es-tu fatigué ?
I know Tom lied.	Je sais que Tom a menti.
She's hot.	Elle est chaude.
Ask anybody.	Demandez à qui que ce soit !
I'm teasing.	Je taquine.
It's a rumor.	C'est une rumeur.
How deep is it?	De quelle profondeur est-ce ?
I'm involved.	Je suis impliquée.
Call us.	Appelez-nous !
Do you mean us?	Tu veux dire nous ?
Leave a message.	Laissez un message !
Can I see this?	Puis-je voir ça ?
It's on its way.	C'est en cours.
I cut myself.	Je me coupai.
I was surprised.	Je fus surpris.
God bless you!	Que Dieu te bénisse !
That's no lie.	Il ne s'agit pas d'un mensonge.
Stop screaming.	Cesse de hurler !
Was I wrong?	Est-ce que j'avais tort ?
Could I do it?	Pourrais-je le faire ?
I hate them all.	Je les déteste tous.
There you are.	Vous y voici.
You may go.	Tu peux y aller.
How's Tom doing?	Comment va Tom ?
We must obey.	Il nous faut obéir.
Be nice to her.	Sois gentille avec elle.
I want you back.	Je veux que vous soyez revenu.
That's so rad.	C'est tellement dément !
I can't breathe.	Je n'arrive pas à respirer.
I like puzzles.	J'aime les énigmes.
He is depressed.	Il est déprimé.
She can skate.	Elle sait patiner.
Will it fit?	Cela s'adaptera-t-il ?
You're invited.	Tu es invitée.
No one listened.	Personne n'a écouté.
Give it to me!	Donne-le-moi !
Adjust your tie.	Ajustez votre cravate !
I am lazy.	Je suis paresseux.
Here is the map.	Voici la carte !
You must run.	Tu dois courir.
Get in the van.	Montez dans la camionnette !
We're unlucky.	Nous sommes malchanceux.
It's fall now.	C'est l'automne, maintenant.
She is dead.	Elle est morte.
We're starved.	Nous sommes affamés.
It's only money.	Il ne s'agit que d'argent.
It isn't enough.	Ça ne suffit pas.
I'm overworked.	Je suis surchargée de travail.
Go look for it.	Va la chercher !
You're famous.	Vous êtes connues.
Try to stop me.	Essaie de m'arrêter !
We must escape.	Il nous faut nous échapper.
I was dizzy.	J'avais la tête qui tournait.
We're armed.	Nous sommes armées.
I love this one.	J'adore celui-ci.
Did you say 30?	As-tu dit trente ?
We're shaken.	Nous sommes remuées.
We'll miss Tom.	Tom va nous manquer.
Be fair.	Sois équitable !
I kid you not.	Je ne vous raconte pas de craques.
They burned.	Elles ont brûlé.
I like that one.	J'aime celle-là.
Tom was lucky.	Tom a eu de la chance.
You're fair.	Tu es juste.
Do it right.	Faites-le comme il faut !
Take mine.	Prenez le mien.
Our team lost.	Notre équipe a perdu.
You're wrong.	Tu as tort.
What a fiasco!	Quel fiasco !
Don't back away.	Ne reculez pas !
He is drunk.	Il est ivre.
How did I look?	De quoi ai-je eu l'air ?
Drink your milk.	Bois ton lait.
No one answered.	Personne n'a répondu.
No one can tell.	Personne n'y comprend rien.
I'm tough.	Je suis dur.
Go to your room.	Va dans ta chambre !
I'm eating.	Je mange.
I'll grab it.	Je mettrai la main dessus.
Keep driving.	Roulez !
I called home.	J'ai appelé chez moi.
Be merciful.	Soyez miséricordieuse !
Make it smaller.	Rendez-le plus petit.
It's a waste.	Il s'agit d'un gaspillage.
Welcome.	Bienvenue !
We almost left.	On a failli partir.
I'm driving.	Je suis en train de conduire.
We're staying.	Nous restons.
I don't snore.	Je ne ronfle pas.
Are you certain?	En es-tu sûr ?
Keep driving.	Continuez à rouler !
It's sand.	C'est du sable.
I'm joking.	Je rigole !
I need a room.	Il me faut une chambre.
I'm going.	J’y vais.
You're big.	Vous êtes grands.
You're cruel.	Vous êtes cruelle.
Are you busy?	Êtes-vous occupée ?
We saw nothing.	Nous n'avons rien vu.
I did OK.	Je m'en suis bien sorti.
I'm so confused.	Je suis tellement perplexe.
You're old.	Vous êtes vieille.
Well done!	Bien vu !
I was naive.	J'étais crédule.
Tell me.	Dis-moi !
Leave him alone.	Laissez-le tranquille.
Come along.	Joignez-vous à nous.
Can I be honest?	Puis-je être honnête ?
I feel unwell.	Je ne me sens pas bien.
Take a nap.	Fais un petit somme !
He lay face up.	Il était étendu le visage visible.
I didn't cheat.	Je n'ai pas copié.
Don't kid me!	Ne me charrie pas !
She liked it.	Elle l'apprécia.
I love golf.	J'adore le golf.
I hate fish.	Je déteste le poisson.
You can help.	Tu peux aider.
I am a Muslim.	Je suis musulman.
Grab my hand.	Saisis-moi la main !
That's great!	Super !
I'll be direct.	Je serai directe.
He hardly works.	Il ne travaille guère.
He is a teacher.	Il est instituteur.
Do you get it?	Tu captes ?
Spring has come.	Le printemps est arrivé.
Do you have one?	En as-tu un ?
He's too drunk.	Il est trop ivre.
Open your hand.	Ouvrez la main !
Drive on.	Avance !
I want details.	Je veux des détails.
I'm fat.	Je suis gros.
Nobody's busy.	Personne n'est occupé.
Get me a lawyer.	Trouve-moi un avocat !
Does it work?	Est-ce que ça marche ?
We're losing.	Nous sommes en train de perdre.
I'm unambitious.	Je suis dépourvu d'ambition.
I have a car.	Je dispose d'une voiture.
Get in the van.	Monte dans la camionnette !
She is crying.	Elle est en train de pleurer.
Don't run risks.	Ne cours pas de risques.
I want this one.	Je veux celle-ci.
I'm wealthy.	Je suis riche.
I learned a lot.	J'ai beaucoup appris.
I had to resign.	Je dus démissionner.
I'm intrigued.	Je suis intrigué.
Taste this.	Goûte ça.
I'm curious.	Je suis curieuse.
Let me go!	Laissez-moi y aller !
It's too dark.	Il fait trop sombre.
It's stealing.	C'est un vol.
Look at that!	Regardez cela !
He dislikes me.	Il ne m'aime pas.
He was invited.	Il était invité.
Is it yours?	Est-ce à toi ?
Drop your gun!	Laissez tomber votre arme !
I'm not a kid.	Je ne suis pas une gamine.
I felt relieved.	Je me suis senti soulagée.
He has a point.	Il marque un point.
I'll buy it.	Je l'achèterai.
Stay with us.	Restez avec nous.
I like my life.	J'aime ma vie.
It's very cold.	Il fait très froid.
I'm a farmer.	Je travaille dans ma ferme.
I hear laughing.	J'entends qu'on rit.
I felt lonely.	Je me sentais seul.
Did Tom find it?	Tom l'a-t-il trouvée ?
Hurry up, girls.	Maniez-vous, les filles !
I lit the match.	J'ai craqué l'allumette.
You're greedy.	Tu es avide.
Don't bother.	Ne dérangez pas.
What a shame!	Quelle honte !
I have cash.	Je dispose de liquide.
Tom is weak.	Tom est faible.
You're safe.	Tu es sauf.
Are you with us?	Es-tu avec nous ?
Anything new?	Il y a du nouveau ?
Do I know him?	Je le connais ?
You're tough.	Vous êtes durs.
Be prepared.	Tenez-vous prête !
He let me go.	Il me laissa partir.
It's a fad.	C'est une passade.
This is a book.	Ceci est un livre.
Start running.	Commencez à courir.
I am going.	J’y vais.
I doubt that.	J'en doute.
I got sleepy.	J'ai commencé à avoir sommeil.
I'm unlucky.	J'ai la schcoumoune.
No way!	C'est exclu !
We're ruined.	Nous sommes ruinés.
She lost a book.	Elle a égaré un livre.
Time flies.	Le temps s'envole.
I heard voices.	J'entendis des voix.
I'm not so old.	Je ne suis pas si vieux.
I feel nauseous.	J'ai la nausée.
Don't talk.	Ne parlez pas !
It's food.	C'est de la nourriture.
I study Korean.	J'étudie le coréen.
I was dancing.	J'étais en train de danser.
I have a minute.	Je dispose d'une minute.
Open your eyes.	Ouvrez vos yeux.
He's my partner.	C'est mon associé.
He's a slacker.	C'est un fainéant.
Is it ready?	Est-ce prêt ?
I have to think.	Il me faut réfléchir.
Go home.	Rentrez à la maison.
I'll save you.	Je vous sauverai.
I lost my dog.	Je perdis mon chien.
What a tragedy!	Quelle tragédie !
Show it to him.	Montre-le-lui !
He's a liar.	C'est un menteur.
Get ready.	Préparez-vous.
Jobs are scarce.	L'emploi est rare.
I'm finished.	J'ai terminé.
She's pregnant.	Elle est enceinte.
We lost.	Nous fûmes battus.
No one knew why.	Personne ne savait pourquoi.
Shut up!	Ferme-la !
Don't leave!	Ne t'en va pas !
Help me out.	Aide-moi à sortir.
They're coming.	Ils sont en train d'arriver.
I decorated it.	Je l'ai décorée.
I'm a teacher.	Je suis professeur.
I hurt my foot.	Je me suis fait mal au pied.
Give me a beer.	Donnez-moi une bière.
She trusted you.	Elle avait confiance en vous.
Listen a minute.	Écoutez une minute !
Tom left me.	Tom m’a quitté.
He likes money.	Il aime l'argent.
I need evidence.	J'ai besoin de preuves.
Who won?	Qui a gagné ?
I don't steal.	Je ne vole pas.
It takes time.	Cela prend du temps.
Clean your room.	Nettoyez votre chambre !
I'm in luck.	Je suis veinard.
Take mine.	Prends les miens.
Am I talented?	Suis-je doté de talent ?
That took guts.	Il fallait avoir les tripes.
I played tennis.	Je jouais au tennis.
Step aside.	Écarte-toi !
Is this a gag?	S'agit-il d'une blague ?
He left early.	Il est parti tôt.
I'm so stupid.	Je suis tellement idiot.
Tom stayed.	Tom est resté.
He is Canadian.	Il est canadien.
Nice seeing you!	C'est chouette de vous voir !
I see them.	Je les vois.
You're shy.	Vous êtes timide.
It's no secret.	Ce n'est pas un secret.
She sings well.	Elle chante bien.
They're cool.	Elles sont sympa.
I must obey.	Il me faut obéir.
He is skating.	Il fait du patin.
Tom was fired.	Thomas a été licencié.
I'm worried.	Je me fais du souci.
Who would care?	Qui s'en soucierait ?
He lied to me.	Il m'a menti.
I smell trouble.	Je sens les ennuis arriver.
I'm methodical.	Je suis méthodique.
Don't touch me!	Ne me touche pas !
I looked away.	J'ai regardé ailleurs.
It's me!	C'est bibi !
I'm kidding.	Je plaisante.
I'm now unarmed.	Je ne suis pas actuellement armé.
I've had enough.	Ça suffit.
What is it?	Qu'est-ce que c'est ?
I want to quit.	Je veux démissionner.
I saw it.	Je l’ai vu.
She hired him.	Elle l'a embauché.
Summer is over.	L'été est terminé.
He's in danger.	Il est en danger.
That's icky.	C'est gnangnan.
I amused myself.	Je me suis amusé.
That's ugly.	C'est laid.
Many fish died.	De nombreux poissons périrent.
I was exhausted.	J'étais épuisé.
Is this love?	Est-ce de l'amour ?
Tom's a doctor.	Tom est médecin.
Kiss Tom.	Embrasse Tom.
I came for you.	Je suis venu à cause de toi.
Tom refused.	Tom a refusé.
I've forgotten.	J'ai oublié.
Call me back.	Rappelez-moi.
I am American.	Je suis américaine.
I need a shower.	J'ai besoin de prendre une douche.
What a letdown!	Quelle déception !
Where are you?	Où es-tu ?
Lemons are sour.	Le citron est acide.
How was class?	Comment était l'école ?
No, I didn't go.	Non, je n'y suis pas allé.
It's very small.	C'est très petit.
He sells whisky.	Il vend du whisky.
I feel faint.	Je me sens mal.
What was taken?	Qu'est-ce qui a été pris ?
I admire you.	Je vous admire.
I was alone.	Je me trouvais seul.
No problem.	Aucun problème.
Can you do that?	Peux-tu faire ça ?
You should eat.	Vous devriez manger.
Enjoy your stay.	Faites un agréable séjour !
I'm prepared.	Je suis préparé.
Welcome back.	Sois de nouveau le bienvenu !
Tom can't swim.	Tom ne sait pas nager.
I have to go.	Il me faut y aller.
I'll check in.	Je vais vérifier.
Check this.	Regarde ça.
Keep on smiling.	Restez souriants.
I'm popular.	Je suis populaire.
I need paint.	J'ai besoin de peinture.
Where were we?	Où étions-nous ?
Be generous.	Sois généreux.
I'm normal.	Je suis normale.
He loves trains.	Il adore les trains.
It's the cops!	Ce sont les flics !
I need water.	Il me faut de l'eau.
I love you guys.	Les mecs, je vous aime.
You're tough.	Tu es dure.
I screamed.	J'ai crié.
It has a leak.	Elle fuit.
I lay on my bed.	Je me suis allongé sur mon lit.
It's just money.	Ce n'est que de l'argent.
I outrank you.	Je vous dépasse.
She disappeared.	Elle a disparu.
Say hello.	Dis bonjour.
Am I in love?	Suis-je amoureux ?
I grew up here.	J'ai grandi ici.
Is Tom drunk?	Tom est-il ivre ?
He's in prison.	Il est en prison.
I was at home.	J'étais à la maison.
I've decided.	J'ai décidé.
I need a pen.	J'ai besoin d'un stylo.
I had to do it.	Il m'a fallu le faire.
Here comes Tom.	Voilà Tom.
Everyone prayed.	Tout le monde pria.
It's a mushroom.	C'est un champignon.
I have a cat.	J'ai un chat.
We're bored.	Nous nous ennuyons.
Everybody left.	Tout le monde partit.
Get off my back!	Lâche-moi !
He drank beer.	Il but de la bière.
I freaked out.	J'ai eu la trouille.
I want to come.	Je veux venir.
It was a dream.	C'était un rêve.
She tempted him.	Elle l'a tenté.
We talked.	Nous nous sommes entretenues.
Run for it!	Prenez vos jambes à vos cous !
He tricked me.	Il m'a eu.
He got angry.	Il s'est fâché.
You're no fun.	Vous n'êtes pas drôle.
He's a gardener.	Il est jardinier.
That was ours.	C'était à nous.
I was dismissed.	J'ai été licencié.
Open your mouth!	Ouvre la bouche !
Sit down!	Assieds-toi !
It's not fake.	Ce n'est pas du chiqué.
I've lost it.	Je l’ai perdu.
I'm doing fine.	Je vais bien.
I dozed.	Je me suis assoupi.
Watch closely.	Regarde de près !
Are they dead?	Sont-ils morts ?
I had no money.	J'étais dépourvue d'argent.
I love bread.	J'adore le pain.
I'll jump in.	Je m'y joindrai.
Let me go!	Laisse-moi partir !
I brought mine.	J'ai apporté le mien.
I am not happy.	Je ne suis pas heureux.
I paid my taxes.	J'ai payé mes impôts.
I'm too busy.	Je suis trop occupée.
I have no fever.	Je n'ai pas de fièvre.
Pick a number.	Choisis un nombre !
Tom draws well.	Tom dessine bien.
You can do it.	C'est bon, tu peux le faire.
I see something.	Je vois quelque chose.
We must decide.	Il nous faut décider.
I rescued you.	Je vous ai sauvées.
I felt cheated.	Je me suis sentie trompée.
I am a twin.	J'ai un jumeau.
I talked to her.	Je lui parlai.
I'll be brief.	Je serai bref.
I'm not cranky.	Je ne suis pas grincheuse.
Read it to me.	Lisez-le-moi !
We had a blast.	On s'est éclatées.
That's stupid.	C'est idiot.
It was hard.	C'était difficile.
I was careful.	J'ai été prudente.
It was a gamble.	C'était un pari.
Life ain't easy.	La vie n'est pas facile.
You need sleep.	Vous avez besoin de sommeil.
It's our car.	C'est notre voiture.
They canceled.	Ils ont annulé.
I know them all.	Je les connais tous.
It can be fatal.	Cela peut être fatal.
Are you ready?	Es-tu prêt ?
Relax a moment.	Détends-toi un instant !
They sweated.	Elles ont transpiré.
He bit his lip.	Il se mordit la lèvre.
We have it all.	Nous avons de tout.
Don't be stupid.	Ne sois pas stupide.
Bring the key.	Apporte la clé.
I'm at home.	Je suis à la maison.
I love Boston.	J'adore Boston.
I think we can.	Je crois que nous le pouvons.
What a dope!	Quelle andouille !
I always walk.	Je vais toujours à pied.
I'm hungry now.	J'ai maintenant faim.
It was my fault.	C'était de ma faute.
Tom knew.	Tom savait.
He plays soccer.	Il joue au football.
I expected more.	Je m'attendais à plus.
Forgive Tom.	Pardonne Tom.
I need to know.	Il me faut savoir.
It was unlocked.	C'était déverrouillé.
Keep on smiling.	Reste souriante.
You'd like Tom.	Tu aimerais Tom.
Come quickly.	Viens vite.
Give them to me.	Donne-les-moi !
We need to go.	Nous devons y aller.
Lock the door.	Verrouillez la porte !
Call the cops.	Appelle les flics !
I must leave.	Il me faut partir.
I had to hide.	J'ai dû me cacher.
Don't rush.	Ne vous précipitez pas.
She deserved it.	Elle l'a mérité.
This is yours.	C'est le vôtre.
Are we friends?	Sommes-nous amies ?
I let you down.	Je vous ai laissée tomber.
We're done.	Nous en avons fini.
You're my boss.	Vous êtes ma patronne.
We had to stop.	Il fallait que nous cessions.
I saw you.	Je te vis.
I'm going crazy.	Je deviens folle.
Keep out!	Défense d'entrer.
Be discreet.	Sois discret !
He drank a beer.	Il but une bière.
We're not home.	Nous ne sommes pas chez nous.
Stand back!	Recule-toi !
I never bet.	Je ne parie jamais.
I'm not bitter.	Je ne suis pas amer.
I'm innocent.	Je suis ingénue.
It's very good.	C'est très bien.
I'm calling you.	Je t'appelle.
I ache all over.	Mon corps me fait mal.
Give me a kiss.	Donnez-moi un bisou !
I can't feel it.	Je ne le ressens pas.
Planning is key.	La planification est essentielle.
Trust me.	Faites-moi confiance.
Let me see it.	Laissez-moi le voir.
I have children.	Je dispose d'enfants.
May I go to bed?	Puis-je aller au lit ?
Go look for it.	Va le chercher !
Go get it.	Va le chercher !
I'm famous.	Je suis connu.
Can you show me?	Peux-tu me montrer ?
He looked well.	Il avait l'air bien.
Stop staring.	Arrête de me fixer !
Sweep the floor.	Passe le balai.
Don't be crazy.	Ne soyez pas folle !
We saw you.	Nous vous avons vues.
What a big dog!	Quel chien massif !
Have a donut.	Prenez un beignet.
I'm sloshed.	Je suis bourrée.
I tried again.	J'ai à nouveau essayé.
Wake up!	Réveille-toi !
It was too hard.	Il était trop dur.
Don't despair.	Ne désespérez pas !
He's henpecked.	Il est harcelé.
I know your son.	Je connais votre fils.
Come here.	Venez là.
Well done!	Bien cuit !
I got caught.	On m'a attrapée.
I'm chubby.	Je suis grassouillet.
Tom got weak.	Tom devint faible.
Are you bald?	Êtes-vous chauve ?
He was stunned.	Il était paralysé.
It was so good.	C'était si bon.
Are you sure?	Es-tu sûr ?
We overslept.	Nous n'avons pas entendu le réveil.
Did I wake you?	Vous ai-je réveillées ?
No one got sick.	Personne ne tomba malade.
I'm just bored.	Je m'embête simplement.
I feel lonely.	Je me sens assez seul.
I knew we'd win.	Je savais que nous gagnerions.
No one saw that.	Personne ne le vit.
He's your son.	C'est votre fils.
Be confident.	Soyez confiantes !
I'm going.	Je me tire.
I see a rose.	Je vois une rose.
I will take it.	Je le prendrai.
Hold the door.	Retenez la porte !
Now leave us.	Maintenant laisse-nous.
Don't buy that.	N'achète pas ça.
How long is it?	Combien de temps cela dure-t-il ?
I felt great.	Je me suis très bien senti.
I got nothing.	Je n'ai rien.
Is lunch ready?	Le déjeuner est-il prêt ?
Can I stay?	Puis-je rester ?
I'm reformed.	Je me suis amendé.
I need paint.	Il me faut de la peinture.
I'll hurry.	Je me dépêcherai.
It's irrelevant.	C'est hors sujet.
I need a pencil.	J'ai besoin d'un crayon.
Have a taste.	Goûte !
I hate fanatics.	Je déteste les fanatiques.
I love bananas.	J'adore les bananes.
Let us out.	Laissez-nous sortir !
Choose one.	Choisis-en un.
Tom was safe.	Tom était sain et sauf.
We're not lost.	Nous ne sommes pas perdues.
I'm here to win.	Je suis ici pour vaincre.
I'll be careful.	Je serai prudente.
I was patient.	J'étais patient.
I'm lazy.	Je suis paresseuse.
He is powerful.	Il est puissant.
I just showered.	Je viens de prendre une douche.
Tom died.	Tom est mort.
She's not here.	Elle n'est pas ici.
I come in peace.	Je viens en paix.
I'll work alone.	Je travaillerai seul.
Tom let us go.	Tom nous a laissé partir.
I hate studying.	Je déteste étudier.
Don't push me.	Ne me pousse pas !
What a dope!	Quel couillon !
I had some fun.	Je me suis amusé.
You're dirty.	Vous êtes sales.
We're in sync.	Nous sommes synchronisées.
Did I hurt you?	T'ai-je blessée ?
I had no clue.	Je n'en avais aucune idée.
You have to go.	Il faut que tu t'en ailles.
He is running.	Il court.
You're sleepy.	Tu es endormie.
Nobody was home.	Personne n'était chez nous.
Am I mistaken?	Est-ce que je me trompe ?
Nature is scary.	La nature est terrifiante.
I sure am cold.	J'ai vraiment froid.
Tom's here.	Tom est là.
He liked that.	Il l'a apprécié.
I've had enough.	J'en ai assez supporté.
Can you ski?	Savez-vous faire du ski ?
I mean it!	Je suis sérieux !
Stand still!	Tiens-toi tranquille !
Anybody home?	Quelqu'un est-il là ?
I'm fasting.	Je suis à la diète.
We had a deal.	On avait un marché.
Read after me.	Lis après moi.
He's a slowpoke.	C'est un lourdaud.
She was crying.	Elle pleurait.
I must go alone.	Il faut que j'y aille seul.
I am off today.	Je ne suis pas en service, aujourd'hui.
Ask them.	Demande-leur.
Can you swim?	Sais-tu nager ?
Did you go out?	Es-tu sorti ?
Did that work?	Ça a marché ?
I remember you.	Je me souviens de vous.
He's a good boy.	C'est un bon garçon.
I'm ticklish.	Je suis chatouilleuse.
I need a job.	Il me faut un travail.
He drank beer.	Il a bu de la bière.
I surrender.	Je me rends.
I was born here.	Je suis né ici.
This is a joke.	Il s'agit d'une blague.
Take a breather.	Fais une pause !
I hear you.	Je t'entends.
We survived!	Nous avons survécu !
Tom overslept.	Tom s'est réveillé trop tard.
You have to go.	Tu dois t'en aller.
He's so stupid.	Il est tellement idiot !
We're powerful.	Nous sommes puissants.
Let me help.	Laissez-moi vous aider !
Be serious.	Soyez sérieuses !
I'm fast.	Je suis rapide.
I eat fruit.	Je mange des fruits.
Do you fish?	Vous pêchez ?
I'm calm.	Je suis calme.
I felt great.	Je me suis très bien sentie.
He hung up.	Il a raccroché.
He doesn't lie.	Il ne ment pas.
I was there.	J'étais là.
It was night.	C'était la nuit.
What was it?	Qu'y avait-il ?
I'm your sister.	Je suis votre sœur.
We've seen him.	Nous l'avons vu.
I want it.	Je le veux.
I'm resilient.	Je suis endurant.
Leave a comment.	Laissez un commentaire.
We're sincere.	Nous sommes sincères.
You're funny.	Vous êtes marrant.
I must go.	Il faut que je m'en aille.
I wonder why.	Je me demande pourquoi.
You're through.	Vous en avez terminé.
Nice timing.	Pile poil !
I have a kid.	J'ai un enfant.
We're weak.	Nous sommes faibles.
Can I help you?	Puis-je t'aider ?
Hand me my mug.	Passe-moi mon mug.
I'm overweight.	Je suis en surpoids.
Is that normal?	Est-ce normal ?
I never saw you.	Je ne vous ai jamais vues.
Are you serious?	T'es sérieuse ?
Go away.	Va t'en !
I need time.	J'ai besoin de temps.
He got the job.	Il a eu le poste.
I wrote a memo.	J'ai rédigé une note.
It's obvious.	C'est patent.
Are you ready?	Es-tu prête ?
He killed him.	Il le tua.
Do you know Tom?	Connais-tu Tom ?
I did it myself.	Je l'ai fait par moi-même.
Are you lonely?	Es-tu esseulée ?
It's hers.	C'est le sien.
It was a bomb.	C'était une bombe.
It's Christmas.	C'est Noël.
Everyone dreams.	Tout le monde rêve.
That's my car.	C'est ma voiture.
That's a fact.	C'est un fait.
I paid for them.	J'ai payé pour elles.
Enjoy your trip.	Faites un bon voyage !
